"sample","condition"
"[65] 20241018_nElute_tims1_JM_WP_8cell_R3_0min_5_Slot1-06_1_9038.d.PG.Log2Quantity","Base"
"[66] 20241018_nElute_tims1_JM_WP_8cell_R3_0min_6_Slot1-30_1_9054.d.PG.Log2Quantity","Base"
"[67] 20241018_nElute_tims1_JM_WP_8cell_R3_5min_1_Slot1-18_1_8971.d.PG.Log2Quantity","Base"
"[68] 20241018_nElute_tims1_JM_WP_8cell_R3_5min_2_Slot1-18_1_8994.d.PG.Log2Quantity","Base"
"[69] 20241018_nElute_tims1_JM_WP_8cell_R3_5min_3_Slot1-18_1_9011.d.PG.Log2Quantity","Base"
"[70] 20241018_nElute_tims1_JM_WP_8cell_R3_5min_4_Slot1-42_1_9021.d.PG.Log2Quantity","Base"
"[71] 20241018_nElute_tims1_JM_WP_8cell_R3_5min_5_Slot1-18_1_9046.d.PG.Log2Quantity","Base"
"[72] 20241018_nElute_tims1_JM_WP_8cell_R3_5min_6_Slot1-42_1_9067.d.PG.Log2Quantity","Base"
"[73] 20241018_nElute_tims1_JM_WP_8cell_R5_0min_1_Slot1-07_1_8968.d.PG.Log2Quantity","Base"
"[74] 20241018_nElute_tims1_JM_WP_8cell_R5_0min_2_Slot1-07_1_8997.d.PG.Log2Quantity","Base"
"[75] 20241018_nElute_tims1_JM_WP_8cell_R5_0min_3_Slot1-07_1_9007.d.PG.Log2Quantity","Base"
"[76] 20241018_nElute_tims1_JM_WP_8cell_R5_0min_4_Slot1-31_1_9020.d.PG.Log2Quantity","Base"
"[77] 20241018_nElute_tims1_JM_WP_8cell_R5_0min_5_Slot1-07_1_9037.d.PG.Log2Quantity","Base"
"[78] 20241018_nElute_tims1_JM_WP_8cell_R5_0min_6_Slot1-31_1_9065.d.PG.Log2Quantity","Base"
"[79] 20241018_nElute_tims1_JM_WP_8cell_R5_5min_1_Slot1-19_1_8979.d.PG.Log2Quantity","Base"
"[80] 20241018_nElute_tims1_JM_WP_8cell_R5_5min_2_Slot1-19_1_8999.d.PG.Log2Quantity","Base"
"[81] 20241018_nElute_tims1_JM_WP_8cell_R5_5min_3_Slot1-19_1_9001.d.PG.Log2Quantity","Base"
"[82] 20241018_nElute_tims1_JM_WP_8cell_R5_5min_4_Slot1-43_1_9030.d.PG.Log2Quantity","Base"
"[83] 20241018_nElute_tims1_JM_WP_8cell_R5_5min_5_Slot1-19_1_9043.d.PG.Log2Quantity","Base"
"[84] 20241018_nElute_tims1_JM_WP_8cell_R5_5min_6_Slot1-43_1_9061.d.PG.Log2Quantity","Base"
"[85] 20241018_nElute_tims1_JM_WP_8cell_R6_0min_1_Slot1-08_1_8978.d.PG.Log2Quantity","Base"
"[86] 20241018_nElute_tims1_JM_WP_8cell_R6_0min_2_Slot1-08_1_8993.d.PG.Log2Quantity","Base"
"[87] 20241018_nElute_tims1_JM_WP_8cell_R6_0min_3_Slot1-08_1_9009.d.PG.Log2Quantity","Base"
"[88] 20241018_nElute_tims1_JM_WP_8cell_R6_0min_4_Slot1-32_1_9025.d.PG.Log2Quantity","Base"
"[89] 20241018_nElute_tims1_JM_WP_8cell_R6_0min_5_Slot1-08_1_9049.d.PG.Log2Quantity","Base"
"[90] 20241018_nElute_tims1_JM_WP_8cell_R6_0min_6_Slot1-32_1_9053.d.PG.Log2Quantity","Base"
"[91] 20241018_nElute_tims1_JM_WP_8cell_R6_5min_1_Slot1-20_1_8975.d.PG.Log2Quantity","Base"
"[92] 20241018_nElute_tims1_JM_WP_8cell_R6_5min_2_Slot1-20_1_8986.d.PG.Log2Quantity","Base"
"[93] 20241018_nElute_tims1_JM_WP_8cell_R6_5min_3_Slot1-20_1_9013.d.PG.Log2Quantity","Base"
"[94] 20241018_nElute_tims1_JM_WP_8cell_R6_5min_4_Slot1-44_1_9033.d.PG.Log2Quantity","Base"
"[95] 20241018_nElute_tims1_JM_WP_8cell_R6_5min_5_Slot1-20_1_9039.d.PG.Log2Quantity","Base"
"[96] 20241018_nElute_tims1_JM_WP_8cell_R6_5min_6_Slot1-44_1_9064.d.PG.Log2Quantity","Base"
